STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-04,,9.302325,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-05,,11.49425,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-06,,10.22727,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-07,,10.11236,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-08,,8.695652,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-09,,8.695652,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-10,,7.526882,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-11,,7.446808,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1919-12,,8.510638,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-01,,11.57895,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-02,,14.89362,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-03,,19.14894,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-04,,20.21277,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-05,,19.58763,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-06,,21.64948,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1920-07,,20.40816,,A,Normal value,,,,,,,2,Two
